order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered
1913360,587,prior,1,4,9,,27521.0,1.0,0.0
1913360,587,prior,1,4,9,,40604.0,2.0,0.0
1913360,587,prior,1,4,9,,43076.0,3.0,0.0
1913360,587,prior,1,4,9,,30290.0,4.0,0.0
1913360,587,prior,1,4,9,,15700.0,5.0,0.0
1913360,587,prior,1,4,9,,2732.0,6.0,0.0
1913360,587,prior,1,4,9,,6297.0,7.0,0.0
868416,587,prior,2,5,10,8.0,46822.0,1.0,0.0
868416,587,prior,2,5,10,8.0,44632.0,2.0,0.0
166174,587,prior,3,6,10,22.0,15950.0,1.0,0.0
166174,587,prior,3,6,10,22.0,23405.0,2.0,0.0
166174,587,prior,3,6,10,22.0,44912.0,3.0,0.0
166174,587,prior,3,6,10,22.0,16262.0,4.0,0.0
166174,587,prior,3,6,10,22.0,23643.0,5.0,0.0
166174,587,prior,3,6,10,22.0,34893.0,6.0,0.0
166174,587,prior,3,6,10,22.0,15040.0,7.0,0.0
166174,587,prior,3,6,10,22.0,15150.0,8.0,0.0
166174,587,prior,3,6,10,22.0,651.0,9.0,0.0
166174,587,prior,3,6,10,22.0,23516.0,10.0,0.0
166174,587,prior,3,6,10,22.0,27521.0,11.0,1.0
166174,587,prior,3,6,10,22.0,29987.0,12.0,0.0
166174,587,prior,3,6,10,22.0,48908.0,13.0,0.0
166174,587,prior,3,6,10,22.0,22260.0,14.0,0.0
166174,587,prior,3,6,10,22.0,16823.0,15.0,0.0
166174,587,prior,3,6,10,22.0,43908.0,16.0,0.0
166174,587,prior,3,6,10,22.0,19048.0,17.0,0.0
166174,587,prior,3,6,10,22.0,11422.0,18.0,0.0
677360,587,prior,4,6,17,30.0,18224.0,1.0,0.0
677360,587,prior,4,6,17,30.0,46822.0,2.0,1.0
677360,587,prior,4,6,17,30.0,44632.0,3.0,1.0
677360,587,prior,4,6,17,30.0,20119.0,4.0,0.0
677360,587,prior,4,6,17,30.0,12576.0,5.0,0.0
677360,587,prior,4,6,17,30.0,35749.0,6.0,0.0
677360,587,prior,4,6,17,30.0,43005.0,7.0,0.0
677360,587,prior,4,6,17,30.0,7099.0,8.0,0.0
677360,587,prior,4,6,17,30.0,29328.0,9.0,0.0
677360,587,prior,4,6,17,30.0,16797.0,10.0,0.0
677360,587,prior,4,6,17,30.0,38777.0,11.0,0.0
677360,587,prior,4,6,17,30.0,16262.0,12.0,1.0
677360,587,prior,4,6,17,30.0,16823.0,13.0,1.0
103768,587,prior,5,2,13,3.0,12576.0,1.0,1.0
103768,587,prior,5,2,13,3.0,20119.0,2.0,1.0
103768,587,prior,5,2,13,3.0,36034.0,3.0,0.0
103768,587,prior,5,2,13,3.0,16262.0,4.0,1.0
22028,587,prior,6,6,7,4.0,36550.0,1.0,0.0
22028,587,prior,6,6,7,4.0,27521.0,2.0,1.0
22028,587,prior,6,6,7,4.0,25355.0,3.0,0.0
22028,587,prior,6,6,7,4.0,15950.0,4.0,1.0
22028,587,prior,6,6,7,4.0,16262.0,5.0,1.0
22028,587,prior,6,6,7,4.0,28545.0,6.0,0.0
22028,587,prior,6,6,7,4.0,47209.0,7.0,0.0
22028,587,prior,6,6,7,4.0,46822.0,8.0,1.0
260794,587,prior,7,6,18,28.0,36034.0,1.0,1.0
260794,587,prior,7,6,18,28.0,27521.0,2.0,1.0
260794,587,prior,7,6,18,28.0,30233.0,3.0,0.0
260794,587,prior,7,6,18,28.0,31279.0,4.0,0.0
260794,587,prior,7,6,18,28.0,43621.0,5.0,0.0
260794,587,prior,7,6,18,28.0,5785.0,6.0,0.0
260794,587,prior,7,6,18,28.0,48775.0,7.0,0.0
260794,587,prior,7,6,18,28.0,26453.0,8.0,0.0
1493864,587,prior,8,0,13,8.0,34530.0,1.0,0.0
1493864,587,prior,8,0,13,8.0,36034.0,2.0,1.0
1493864,587,prior,8,0,13,8.0,36144.0,3.0,0.0
1493864,587,prior,8,0,13,8.0,15950.0,4.0,1.0
1493864,587,prior,8,0,13,8.0,2322.0,5.0,0.0
1493864,587,prior,8,0,13,8.0,40604.0,6.0,1.0
1493864,587,prior,8,0,13,8.0,24964.0,7.0,0.0
1493864,587,prior,8,0,13,8.0,32585.0,8.0,0.0
1493864,587,prior,8,0,13,8.0,46822.0,9.0,1.0
3259331,587,prior,9,6,14,13.0,15950.0,1.0,1.0
3259331,587,prior,9,6,14,13.0,47260.0,2.0,0.0
3259331,587,prior,9,6,14,13.0,7412.0,3.0,0.0
3259331,587,prior,9,6,14,13.0,30290.0,4.0,1.0
3259331,587,prior,9,6,14,13.0,25886.0,5.0,0.0
3259331,587,prior,9,6,14,13.0,19450.0,6.0,0.0
3259331,587,prior,9,6,14,13.0,31845.0,7.0,0.0
3259331,587,prior,9,6,14,13.0,35121.0,8.0,0.0
3259331,587,prior,9,6,14,13.0,35842.0,9.0,0.0
3259331,587,prior,9,6,14,13.0,6297.0,10.0,1.0
3259331,587,prior,9,6,14,13.0,8594.0,11.0,0.0
1635509,587,prior,10,3,13,18.0,35842.0,1.0,1.0
1635509,587,prior,10,3,13,18.0,23734.0,2.0,0.0
1635509,587,prior,10,3,13,18.0,18434.0,3.0,0.0
1635509,587,prior,10,3,13,18.0,40054.0,4.0,0.0
1635509,587,prior,10,3,13,18.0,16823.0,5.0,1.0
1635509,587,prior,10,3,13,18.0,34126.0,6.0,0.0
1635509,587,prior,10,3,13,18.0,33731.0,7.0,0.0
1635509,587,prior,10,3,13,18.0,28204.0,8.0,0.0
1635509,587,prior,10,3,13,18.0,18680.0,9.0,0.0
1635509,587,prior,10,3,13,18.0,19384.0,10.0,0.0
180570,587,prior,11,3,15,0.0,27521.0,1.0,1.0
180570,587,prior,11,3,15,0.0,18609.0,2.0,0.0
180570,587,prior,11,3,15,0.0,36034.0,3.0,1.0
180570,587,prior,11,3,15,0.0,49086.0,4.0,0.0
180570,587,prior,11,3,15,0.0,15950.0,5.0,1.0
180570,587,prior,11,3,15,0.0,21955.0,6.0,0.0
180570,587,prior,11,3,15,0.0,31553.0,7.0,0.0
2244365,587,prior,12,0,14,4.0,14112.0,1.0,0.0
2244365,587,prior,12,0,14,4.0,33100.0,2.0,0.0
2244365,587,prior,12,0,14,4.0,31506.0,3.0,0.0
2244365,587,prior,12,0,14,4.0,5785.0,4.0,1.0
2244365,587,prior,12,0,14,4.0,40604.0,5.0,1.0
2244365,587,prior,12,0,14,4.0,40706.0,6.0,0.0
2244365,587,prior,12,0,14,4.0,34530.0,7.0,1.0
2244365,587,prior,12,0,14,4.0,5769.0,8.0,0.0
2244365,587,prior,12,0,14,4.0,35749.0,9.0,1.0
2244365,587,prior,12,0,14,4.0,46822.0,10.0,1.0
3054234,587,train,13,6,8,13.0,27521.0,1.0,1.0
3054234,587,train,13,6,8,13.0,49086.0,2.0,1.0
